Course Code,Prereq_1
LTAM 89,
LTAM 101,
LTAM 291,
LTAM 314,
LTAM 350,
LTAM 390,
LTAM 396,
LTAM 401,
LTAM 402,
LTAM 411,
LTAM 512,LTAM 411
LTAM 690,
LTAM 691H,
LTAM 692H,
LTAM 697,
LTAM 767,
LTAM 768,
LTAM 900,
