Course Code,Prereq_1,Prereq_2
CRMH 700,,
CRMH 702,,
CRMH 704,,
CRMH 706,,
CRMH 708,,
CRMH 710,,
CRMH 712,CRMH 700,CRMH 702
CRMH 714,,
CRMH 716,,
CRMH 718,,
CRMH 800,CRMH 700,CRMH 702
CRMH 802,,
CRMH 806,,
CRMH 810,,
CRMH 814,,
CRMH 816,,
CRMH 818,,
CRMH 822,CRMH 702,
CRMH 890,,
CRMH 992,,
CRMH 993,,
