Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6,Prereq_7,Prereq_8,Prereq_9,Prereq_10,Prereq_11,Prereq_12,Prereq_13,Prereq_14,Prereq_15,Prereq_16,Prereq_17,Prereq_18
SOCI 836,,,,,,,,,,,,,,,,,,
SOCI 840,,,,,,,,,,,,,,,,,,
SOCI 841,,,,,,,,,,,,,,,,,,
SOCI 842,,,,,,,,,,,,,,,,,,
SOCI 843,,,,,,,,,,,,,,,,,,
SOCI 850,,,,,,,,,,,,,,,,,,
SOCI 851,,,,,,,,,,,,,,,,,,
SOCI 852,,,,,,,,,,,,,,,,,,
SOCI 853,,,,,,,,,,,,,,,,,,
SOCI 854,,,,,,,,,,,,,,,,,,
SOCI 855,,,,,,,,,,,,,,,,,,
SOCI 860,,,,,,,,,,,,,,,,,,
SOCI 861,,,,,,,,,,,,,,,,,,
SOCI 862,,,,,,,,,,,,,,,,,,
SOCI 863,,,,,,,,,,,,,,,,,,
SOCI 870,,,,,,,,,,,,,,,,,,
SOCI 871,,,,,,,,,,,,,,,,,,
SOCI 872,,,,,,,,,,,,,,,,,,
SOCI 901,,,,,,,,,,,,,,,,,,
SOCI 905,,,,,,,,,,,,,,,,,,
SOCI 950,,,,,,,,,,,,,,,,,,
SOCI 960,,,,,,,,,,,,,,,,,,
SOCI 961,,,,,,,,,,,,,,,,,,
SOCI 962,,,,,,,,,,,,,,,,,,
SOCI 970,,,,,,,,,,,,,,,,,,
SOCI 971,,,,,,,,,,,,,,,,,,
SOCI 979,,,,,,,,,,,,,,,,,,
SOCI 980,,,,,,,,,,,,,,,,,,
SOCI 993,,,,,,,,,,,,,,,,,,
SOCI 994,,,,,,,,,,,,,,,,,,
