Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6
EDUC 779,,,,,,
EDUC 780,EDUC 628,,,,,
EDUC 781,,,,,,
EDUC 782,,,,,,
EDUC 783,EDUC 628,,,,,
EDUC 784,EDUC 710,,,,,
EDUC 785,EDUC 710,,,,,
EDUC 786,,,,,,
EDUC 787,EDUC 710,EDUC 829,,,,
EDUC 788,EDUC 744,,,,,
EDUC 789,,,,,,
EDUC 790,,,,,,
EDUC 791,,,,,,
EDUC 792,,,,,,
EDUC 793,,,,,,
EDUC 794,,,,,,
EDUC 795,,,,,,
EDUC 796B,,,,,,
EDUC 796A,,,,,,
EDUC 797,,,,,,
EDUC 798,,,,,,
EDUC 800,,,,,,
EDUC 801,,,,,,
EDUC 802,,,,,,
EDUC 803,,,,,,
EDUC 804,,,,,,
EDUC 805A,,,,,,
EDUC 805B,,,,,,
EDUC 806,,,,,,
EDUC 807,,,,,,
EDUC 809,,,,,,
EDUC 810,,,,,,
EDUC 811,,,,,,
EDUC 812,,,,,,
EDUC 813,,,,,,
EDUC 814,,,,,,
EDUC 815,,,,,,
EDUC 816,,,,,,
EDUC 817,,,,,,
EDUC 818,,,,,,
EDUC 819,,,,,,
EDUC 820,,,,,,
EDUC 821,,,,,,
EDUC 822,EDUC 821,,,,,
EDUC 823,,,,,,
EDUC 824,,,,,,
EDUC 825,,,,,,
EDUC 826,,,,,,
EDUC 827,,,,,,
EDUC 828,,,,,,
EDUC 829,,,,,,
EDUC 830,,,,,,
EDUC 831,,,,,,
EDUC 832,,,,,,
EDUC 833,,,,,,
EDUC 834,,,,,,
EDUC 835,,,,,,
EDUC 836,,,,,,
EDUC 837,,,,,,
EDUC 838,,,,,,
EDUC 839,,,,,,
EDUC 840,EDUC 727,EDUC 750,EDUC 832,EDUC 834,,
EDUC 841,EDUC 727,EDUC 832,EDUC 834,,,
EDUC 842,,,,,,
EDUC 843,,,,,,
EDUC 844,EDUC 727,EDUC 750,EDUC 832,EDUC 834,,
EDUC 845,,,,,,
EDUC 846,,,,,,
EDUC 850,,,,,,
EDUC 851,,,,,,
EDUC 852,,,,,,
EDUC 853,,,,,,
EDUC 854,,,,,,
EDUC 855,,,,,,
EDUC 856,,,,,,
EDUC 857,,,,,,
EDUC 861,,,,,,
EDUC 862,,,,,,
EDUC 863,,,,,,
EDUC 864,,,,,,
EDUC 865,,,,,,
EDUC 866,,,,,,
EDUC 867,,,,,,
EDUC 868,,,,,,
EDUC 871,,,,,,
EDUC 873,EDUC 779,,,,,
EDUC 874,EDUC 772,,,,,
EDUC 876,,,,,,
EDUC 877,,,,,,
EDUC 878,,,,,,
EDUC 879,,,,,,
EDUC 881,,,,,,
EDUC 882,,,,,,
EDUC 883,,,,,,
EDUC 884,EDUC 710,EDUC 784,,,,
EDUC 885,,,,,,
EDUC 887,EDUC 754,,,,,
EDUC 888,,,,,,
EDUC 890,,,,,,
EDUC 891,,,,,,
EDUC 892,,,,,,
EDUC 894,EDUC 784,PSYC 831,,,,
EDUC 902,,,,,,
EDUC 904,,,,,,
EDUC 906,,,,,,
EDUC 909,,,,,,
EDUC 913,,,,,,
EDUC 915,,,,,,
EDUC 918,,,,,,
EDUC 919,EDUC 824,,,,,
EDUC 922,,,,,,
EDUC 923,,,,,,
EDUC 930,,,,,,
EDUC 931,,,,,,
EDUC 935,EDUC 710,EDUC 784,,,,
EDUC 945,,,,,,
EDUC 947,,,,,,
EDUC 948,,,,,,
EDUC 949,,,,,,
EDUC 950A,,,,,,
EDUC 953,,,,,,
EDUC 970,,,,,,
EDUC 972,,,,,,
EDUC 973,,,,,,
EDUC 974,,,,,,
EDUC 977,,,,,,
EDUC 990,,,,,,
EDUC 992,,,,,,
EDUC 993,,,,,,
EDUC 994,,,,,,
