Course Code,Prereq_1
KOR 101,
KOR 102,KOR 101
KOR 150,
KOR 151,
KOR 203,KOR 102
KOR 204,KOR 203
KOR 232,
KOR 237,
KOR 305,KOR 204
KOR 306,KOR 305
KOR 308,KOR 204
KOR 327,
KOR 346,
KOR 407,KOR 306
KOR 408,KOR 306
KOR 409,KOR 306
KOR 447,
KOR 490,KOR 306
KOR 496,
