Course Code,Prereq_1,Prereq_2
HUNG 401,,
HUNG 402,,
HUNG 403,,
HUNG 404,,
HUNG 405,HUNG 404,
HUNG 406,,
HUNG 407,HUNG 401,LING 101
HUNG 411,,
HUNG 490,,
