Course Code,Prereq_1,Prereq_2
DPOP 766,EPID 710,EPID 600
DPOP 801,,
DPOP 803,,
DPOP 806,,
DPOP 870,,
DPOP 872,,
DPOP 899,,
DPOP 900,,
DPOP 901,,
