Course Code,Prereq_1
ARAB 101,
ARAB 102,ARAB 101
ARAB 150,
ARAB 151,
ARAB 203,ARAB 102
ARAB 204,ARAB 203
ARAB 211,
ARAB 214,
ARAB 255,
ARAB 300,ARAB 204
ARAB 305,ARAB 204
ARAB 306,ARAB 305
ARAB 308,ARAB 204
ARAB 337,
ARAB 350,
ARAB 354,
ARAB 407,ARAB 306
ARAB 408,ARAB 306
ARAB 432,
ARAB 434,
ARAB 453,
ARAB 496,
ARAB 681,
