Course Code,Prereq_1,Prereq_2,Prereq_3
CBMC 804A,CHEM 466,CHEM 601,
CBMC 804B,CBMC 804A,,
CBMC 805,MATH 231,MATH 232,CHEM 481
CBMC 807,CHEM 262,,
