Course Code,Prereq_1
CZCH 280,
CZCH 401,
CZCH 402,CZCH 401
CZCH 403,CZCH 402
CZCH 404,CZCH 403
CZCH 405,CZCH 404
CZCH 406,CZCH 405
CZCH 411,
CZCH 469,
CZCH 490,
