Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6
RELI 785,,,,,,
RELI 801,,,,,,
RELI 803,,,,,,
RELI 804,,,,,,
RELI 805,,,,,,
RELI 807,,,,,,
RELI 808,,,,,,
RELI 809,,,,,,
RELI 810,,,,,,
RELI 812,,,,,,
RELI 813,,,,,,
RELI 814,RELI 712,,,,,
RELI 817,,,,,,
RELI 818,RELI 413,,,,,
RELI 819,,,,,,
RELI 821,,,,,,
RELI 823,,,,,,
RELI 824,,,,,,
RELI 835,,,,,,
RELI 838,,,,,,
RELI 840,,,,,,
RELI 841,,,,,,
RELI 842,,,,,,
RELI 843,,,,,,
RELI 866,,,,,,
RELI 867,,,,,,
RELI 870,,,,,,
RELI 881,,,,,,
RELI 885,,,,,,
RELI 890,,,,,,
RELI 891,,,,,,
RELI 900,,,,,,
RELI 910,,,,,,
RELI 913,,,,,,
RELI 990,,,,,,
RELI 993,,,,,,
RELI 994,,,,,,
