Course Code,Prereq_1,Prereq_2
RUSS 101,,
RUSS 102,RUSS 101,
RUSS 203,RUSS 102,
RUSS 204,RUSS 203,
RUSS 270,,
RUSS 275,,
RUSS 276,,
RUSS 277,,
RUSS 278,,
RUSS 279,,
RUSS 280,,
RUSS 282,,
RUSS 296,,
RUSS 409,RUSS 204,
RUSS 410,RUSS 409,
RUSS 411,RUSS 410,
RUSS 412,RUSS 411,
RUSS 415,RUSS 410,
RUSS 445,,
RUSS 450,,
RUSS 455,,
RUSS 464,,
RUSS 465,,
RUSS 469,,
RUSS 471,,
RUSS 477,,
RUSS 479,,
RUSS 480,,
RUSS 486,,
RUSS 490,,
RUSS 515,RUSS 412,
RUSS 516,RUSS 515,
RUSS 562,LING 101,RUSS 102
