Course Code,Prereq_1,Prereq_2
SWAH 112,,
SWAH 234,SWAH 112,SWAH 402
SWAH 401,,
SWAH 402,SWAH 401,
SWAH 403,SWAH 112,SWAH 402
SWAH 404,SWAH 403,
SWAH 405,SWAH 404,
SWAH 406,SWAH 405,
SWAH 408,SWAH 403,
