Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6,Prereq_7,Prereq_8,Prereq_9
NURS 910,NURS 908,,,,,,,,
NURS 911,NURS 908,NURS 909,NURS 910,,,,,,
NURS 912,NURS 903,NURS 913,NURS 916,NURS 924,,,,,
NURS 913,NURS 903,NURS 912,NURS 916,NURS 924,,,,,
NURS 914,NURS 913,NURS 904,NURS 905,NURS 917,NURS 925,,,,
NURS 915,,,,,,,,,
NURS 916,NURS 912,NURS 913,NURS 924,,,,,,
NURS 917,NURS 916,NURS 904,NURS 905,NURS 914,NURS 925,,,,
NURS 918,,,,,,,,,
NURS 920,,,,,,,,,
NURS 921,,,,,,,,,
NURS 922,NURS 921,,,,,,,,
NURS 923,NURS 922,NURS 921,NURS 969,,,,,,
NURS 924,NURS 912,NURS 913,NURS 916,,,,,,
NURS 925,NURS 924,NURS 904,NURS 905,NURS 914,NURS 917,,,,
NURS 928,,,,,,,,,
NURS 930,,,,,,,,,
NURS 932,,,,,,,,,
NURS 933,,,,,,,,,
NURS 934,,,,,,,,,
NURS 935,,,,,,,,,
NURS 936,,,,,,,,,
NURS 938,NURS 967,,,,,,,,
NURS 939,,,,,,,,,
NURS 940,NURS 939,,,,,,,,
NURS 941,NURS 778,,,,,,,,
NURS 942,NURS 778,NURS 779,NURS 941,,,,,,
NURS 943,NURS 778,NURS 779,NURS 941,NURS 942,NURS 994,,,,
NURS 945,,,,,,,,,
NURS 950,,,,,,,,,
NURS 951,NURS 875,NURS 950,,,,,,,
NURS 957,,,,,,,,,
NURS 958,NURS 957,,,,,,,,
NURS 960,,,,,,,,,
NURS 965,,,,,,,,,
NURS 966,NURS 779,NURS 871,NURS 873,NURS 874,,,,,
NURS 967,,,,,,,,,
NURS 968,,,,,,,,,
NURS 969,,,,,,,,,
NURS 979,,,,,,,,,
NURS 985,,,,,,,,,
NURS 986,NURS 941,NURS 942,NURS 943,,,,,,
NURS 992,,,,,,,,,
NURS 993,,,,,,,,,
NURS 994,,,,,,,,,
