Course Code,Prereq_1,Prereq_2
TOXC 423,,
TOXC 442,CHEM 430,
TOXC 701,,
TOXC 702,CHEM 430,
TOXC 707,PHCO 702,
TOXC 721,,
TOXC 722,,
TOXC 735,,
TOXC 760,,
TOXC 792,,
TOXC 821,,
TOXC 901,,
TOXC 992,TOXC 442,TOXC 707
TOXC 993,,
TOXC 994,,
