Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6,Prereq_7,Prereq_8
COMM 857,COMM 700,,,,,,,
COMM 858,,,,,,,,
COMM 859,,,,,,,,
COMM 860,,,,,,,,
COMM 873,,,,,,,,
COMM 874,,,,,,,,
COMM 875,,,,,,,,
COMM 879,,,,,,,,
COMM 900,,,,,,,,
COMM 901,,,,,,,,
COMM 907,,,,,,,,
COMM 909,,,,,,,,
COMM 992,,,,,,,,
COMM 993,,,,,,,,
COMM 994,,,,,,,,
