Course Code,Prereq_1
PLSH 280,
PLSH 401,
PLSH 402,PLSH 401
PLSH 403,PLSH 402
PLSH 404,PLSH 403
PLSH 405,PLSH 404
PLSH 406,PLSH 405
PLSH 411,
PLSH 412,
PLSH 490,
