Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5
ANTH 790,,,,,
ANTH 793,,,,,
ANTH 808,,,,,
ANTH 809,,,,,
ANTH 810,,,,,
ANTH 817,,,,,
ANTH 818,ANTH 817,,,,
ANTH 850,,,,,
ANTH 860,,,,,
ANTH 897,,,,,
ANTH 898,,,,,
ANTH 901,,,,,
ANTH 902,,,,,
ANTH 915,,,,,
ANTH 916,,,,,
ANTH 921,,,,,
ANTH 922,,,,,
ANTH 993,,,,,
ANTH 994,,,,,
