Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6,Prereq_7,Prereq_8,Prereq_9,Prereq_10
BIOL 449,BIOL 205,BIOL 103,BIOL 104,BIOL 240,,,,,,
BIOL 450,BIOL 205,BIOL 103,BIOL 104,BIOL 240,,,,,,
BIOL 451,BIOL 101,BIOL 101L,BIOL 102L,BIOL 114,BIOL 115,,,,,
BIOL 451L,BIOL 451,,,,,,,,,
BIOL 452,,,,,,,,,,
BIOL 453,BIOL 202,CHEM 261,BIOL 103,BIOL 104,BIOL 220,BIOL 240,,,,
BIOL 454,BIOL 201,BIOL 202,BIOL 103,BIOL 104,,,,,,
BIOL 455,BIOL 205,BIOL 103,BIOL 104,BIOL 240,,,,,,
BIOL 456,,,,,,,,,,
BIOL 457,,,,,,,,,,
BIOL 458,BIOL 103,BIOL 104,BIOL 240,,,,,,,
BIOL 459,BIOL 101,,,,,,,,,
BIOL 461,BIOL 201,BIOL 103,BIOL 104,BIOL 260,,,,,,
BIOL 462,BIOL 201,BIOL 475,BIOL 103,BIOL 104,BIOL 260,,,,,
BIOL 463,BIOL 103,BIOL 104,BIOL 260,,,,,,,
BIOL 464,BIOL 103,BIOL 104,BIOL 260,,,,,,,
BIOL 465,BIOL 201,BIOL 103,BIOL 104,BIOL 260,,,,,,
BIOL 466,BIOL 103,BIOL 104,,,,,,,,
BIOL 469,BIOL 201,BIOL 103,BIOL 104,,,,,,,
BIOL 471,BIOL 201,BIOL 202,BIOL 103,BIOL 104,BIOL 471L,,,,,
BIOL 471L,BIOL 201,BIOL 202,BIOL 103,BIOL 104,BIOL 471,,,,,
BIOL 472,BIOL 103,BIOL 104,BIOL 271,BIOL 272,,,,,,
BIOL 473L,BIOL 473,,,,,,,,,
BIOL 473,BIOL 103,BIOL 104,BIOL 473L,,,,,,,
BIOL 474,BIOL 201,BIOL 202,BIOL 103,BIOL 104,,,,,,
BIOL 474L,BIOL 474,,,,,,,,,
BIOL 475,BIOL 101,BIOL 101L,BIOL 102L,BIOL 475L,,,,,,
BIOL 475L,BIOL 101,BIOL 101L,BIOL 102L,BIOL 475,,,,,,
BIOL 476,BIOL 101,BIOL 101L,BIOL 102L,BIOL 476L,,,,,,
BIOL 476L,BIOL 476,,,,,,,,,
BIOL 479,,,,,,,,,,
BIOL 479L,,,,,,,,,,
BIOL 480,BIOL 202,BIOL 103,BIOL 104,,,,,,,
BIOL 481,BIOL 422,MCRO 251,,,,,,,,
BIOL 490,,,,,,,,,,
BIOL 495,BIOL 395,,,,,,,,,
BIOL 501,,,,,,,,,,
BIOL 514,BIOL 201,BIOL 205,BIOL 103,BIOL 104,,,,,,
BIOL 523,BIOL 202,BIOL 205,BIOL 103,BIOL 104,,,,,,
BIOL 524,BIOL 103,BIOL 104,BIOL 240,,,,,,,
BIOL 525,BIOL 202,BIOL 103,BIOL 104,BIOL 220,COMP 110,COMP 116,STOR 120,STOR 155,BIOL 525L,
BIOL 525L,BIOL 202,BIOL 103,BIOL 104,BIOL 220,COMP 110,COMP 116,STOR 120,STOR 155,BIOL 525,
BIOL 526,BIOL 103,BIOL 104,BIOL 220,COMP 110,COMP 116,BIOL 226,STOR 120,STOR 155,,
BIOL 527,BIOL 103,BIOL 104,COMP 110,COMP 116,MATH 232,,,,,
BIOL 527L,,,,,,,,,,
BIOL 528,BIOL 202,BIOL 103,BIOL 104,BIOL 220,COMP 110,COMP 116,BIOL 226,BIOL 528L,,
