Course Code,Prereq_1,Prereq_2,Prereq_3
OCCT 704,,,
OCCT 720A,,,
OCCT 720B,,,
OCCT 725,,,
OCCT 726,,,
OCCT 727,,,
OCCT 728,OCCT 727,,
OCCT 729,OCCT 727,OCCT 728,
OCCT 736,,,
OCCT 755,,,
OCCT 756,OCCT 755,OCCT 765L,
OCCT 757,OCCT 727,,
OCCT 765L,,,
OCCT 766L,OCCT 755,OCCT 765L,
OCCT 767L,OCCT 766L,,
OCCT 770,,,
OCCT 771,,,
OCCT 772,OCCT 771,,
OCCT 773,OCCT 771,OCCT 772,
OCCT 781,,,
OCCT 836,OCCT 727,OCCT 728,OCCT 757
OCCT 837,OCCT 736,,
OCCT 896,,,
OCCT 990,OCCT 704,,
OCCT 992,,,
OCCT 993,,,
